Name,Method_Name__c,Found_In__c,Unique_Identiier__c,Is Encounter
Method13,Class51.Method13,Class1.Method1,Class1.Method1 | Class51.Method13,#VALUE!
Method10,Class2.Method10,Class17.Method24,Class17.Method24 | Class2.Method10,#VALUE!
Method10,Class2.Method10,Class18.Method24,Class18.Method24 | Class2.Method10,#VALUE!
Method9,Class2.Method9,Class2.Method10,Class2.Method10 | Class2.Method9,#VALUE!
Method9,Class2.Method9,Class3.generateFMVAssessmentForPenalty,Class3.generateFMVAssessmentForPenalty | Class2.Method9,#VALUE!
Method9,Class2.Method9,Class3.generateFMVAssessmentAsync,Class3.generateFMVAssessmentAsync | Class2.Method9,#VALUE!
Method9,Class2.Method9,Class3.createCancelAndReissueAssessment,Class3.createCancelAndReissueAssessment | Class2.Method9,#VALUE!
Method9,Class2.Method9,Class3.cancelAndReissuePenaltyAssessment,Class3.cancelAndReissuePenaltyAssessment | Class2.Method9,#VALUE!
Method9,Class2.Method9,Class13.createEscapeAssessment,Class13.createEscapeAssessment | Class2.Method9,#VALUE!
Method9,Class2.Method9,Class14.Method23,Class14.Method23 | Class2.Method9,#VALUE!
Method9,Class2.Method9,Class7.applyPenalty,Class7.applyPenalty | Class2.Method9,#VALUE!
Method9,Class2.Method9,Class7.assessmentPenaltyForNonAssess,Class7.assessmentPenaltyForNonAssess | Class2.Method9,#VALUE!
Method9,Class2.Method9,Class7.removePenalty,Class7.removePenalty | Class2.Method9,#VALUE!
generateFMVAssessmentForPenalty,Class3.generateFMVAssessmentForPenalty,Class14AndUpdatorAsync.Method24,Class14AndUpdatorAsync.Method24 | Class3.generateFMVAssessmentForPenalty,#VALUE!
Method12,Class3.Method12,Class2.Method10,Class2.Method10 | Class3.Method12,#VALUE!
Method12,Class3.Method12,Class2.Method9,Class2.Method9 | Class3.Method12,#VALUE!
Method12,Class3.Method12,Class7.removePenalty,Class7.removePenalty | Class3.Method12,#VALUE!
Method19,Class3.Method19,Class4.Method23,Class4.Method23 | Class3.Method19,#VALUE!
Method19,Class3.Method19,Class4.Method6,Class4.Method6 | Class3.Method19,#VALUE!
Method19,Class3.Method19,Class6.cancelValuation,Class6.cancelValuation | Class3.Method19,#VALUE!
Method23,Class3.Method23,Class14AndUpdatorAsync.Method24,Class14AndUpdatorAsync.Method24 | Class3.Method23,#VALUE!
Method23,Class3.Method23,Class20.run,Class20.run | Class3.Method23,#VALUE!
Method23,Class14.Method23,Class14AndUpdatorAsync.Method24,Class14AndUpdatorAsync.Method24 | Class14.Method23,#VALUE!
Method23,Class14.Method23,Class20.run,Class20.run | Class14.Method23,#VALUE!
Method25,Class4.Method25,Class21.Method26,Class21.Method26 | Class4.Method25,#VALUE!
Method23,Class4.Method23,Class14AndUpdatorAsync.Method24,Class14AndUpdatorAsync.Method24 | Class4.Method23,#VALUE!
Method23,Class4.Method23,Class20.run,Class20.run | Class4.Method23,#VALUE!
Method6,Class4.Method6,Class1.Method8,Class1.Method8 | Class4.Method6,#VALUE!
Method26,Class21.Method26,Class22.Method27,Class22.Method27 | Class21.Method26,#VALUE!
Method11,Class71.Method11,Class1.Method1,Class1.Method1 | Class71.Method11,#VALUE!
Method11,Class71.Method11,Class1.createClass20s,Class1.createClass20s | Class71.Method11,#VALUE!
Method11,Class71.Method11,Class1.cloneCORandAPE,Class1.cloneCORandAPE | Class71.Method11,#VALUE!
Method11,Class71.Method11,Class1.Method8,Class1.Method8 | Class71.Method11,#VALUE!
Method11,Class71.Method11,Class2.Method9,Class2.Method9 | Class71.Method11,#VALUE!
Method11,Class71.Method11,Class2.saveSubsequentData,Class2.saveSubsequentData | Class71.Method11,#VALUE!
Method11,Class71.Method11,Class2.valuationApproval,Class2.valuationApproval | Class71.Method11,#VALUE!
Method11,Class71.Method11,Class25.processTransaction,Class25.processTransaction | Class71.Method11,#VALUE!
Method11,Class71.Method11,Class3.createOwnerShip,Class3.createOwnerShip | Class71.Method11,#VALUE!
Method11,Class71.Method11,Class3.generateFMVAssessmentAsync,Class3.generateFMVAssessmentAsync | Class71.Method11,#VALUE!
Method11,Class71.Method11,Class3.Method23,Class3.Method23 | Class71.Method11,#VALUE!
Method11,Class71.Method11,Class3.updateCasesForNonAssessable,Class3.updateCasesForNonAssessable | Class71.Method11,#VALUE!
Method11,Class71.Method11,AsyncClass14.Method24,AsyncClass14.Method24 | Class71.Method11,#VALUE!
Method11,Class71.Method11,Class13.propertyEventApproval,Class13.propertyEventApproval | Class71.Method11,#VALUE!
Method11,Class71.Method11,Class13.Method26Record,Class13.Method26Record | Class71.Method11,#VALUE!
Method11,Class71.Method11,Class14.Method23,Class14.Method23 | Class71.Method11,#VALUE!
Method11,Class71.Method11,Class4.cancelNCPropertyEvent,Class4.cancelNCPropertyEvent | Class71.Method11,#VALUE!
Method11,Class71.Method11,Class4.Method23,Class4.Method23 | Class71.Method11,#VALUE!
Method11,Class71.Method11,Class4.Method6,Class4.Method6 | Class71.Method11,#VALUE!
Method11,Class71.Method11,Class6.cancelValuation,Class6.cancelValuation | Class71.Method11,#VALUE!
Method11,Class71.Method11,Class6.cancelPILeasingValuation,Class6.cancelPILeasingValuation | Class71.Method11,#VALUE!
Method11,Class71.Method11,Class57.escapeCreateAssessmentOnHoxRemoval,Class57.escapeCreateAssessmentOnHoxRemoval | Class71.Method11,#VALUE!
Method11,Class71.Method11,Class7.applyPenalty,Class7.applyPenalty | Class71.Method11,#VALUE!
Method11,Class71.Method11,Class7.assessmentPenaltyForNonAssess,Class7.assessmentPenaltyForNonAssess | Class71.Method11,#VALUE!
Method11,Class71.Method11,Class7.removePenalty,Class7.removePenalty | Class71.Method11,#VALUE!
Method11,Class71.Method11,Class16.CreateAssessmentForRescission,Class16.CreateAssessmentForRescission | Class71.Method11,#VALUE!
Method11,Class71.Method11,Class16.approveEventAssessment,Class16.approveEventAssessment | Class71.Method11,#VALUE!
Method20,Class72.Method20,PermitStagingBatchHelper.transformToPropertyEvents,PermitStagingBatchHelper.transformToPropertyEvents | Class72.Method20,#VALUE!
Method20,Class72.Method20,Class51.calculatePercentExemptOnTheAPE,Class51.calculatePercentExemptOnTheAPE | Class72.Method20,#VALUE!
Method20,Class72.Method20,PermitStagingStatusUpdateHelper.transformToPropertyEvents,PermitStagingStatusUpdateHelper.transformToPropertyEvents | Class72.Method20,#VALUE!
Method20,Class72.Method20,Class1.createAssessments,Class1.createAssessments | Class72.Method20,#VALUE!
Method20,Class72.Method20,Class1.assginParentCaseFields,Class1.assginParentCaseFields | Class72.Method20,#VALUE!
Method20,Class72.Method20,Class1.updateExistingAssessments,Class1.updateExistingAssessments | Class72.Method20,#VALUE!
Method20,Class72.Method20,Class1.assessedValueOnAssessment,Class1.assessedValueOnAssessment | Class72.Method20,#VALUE!
Method20,Class72.Method20,Class12.createUpdateChildParcelOwnership,Class12.createUpdateChildParcelOwnership | Class72.Method20,#VALUE!
Method20,Class72.Method20,Class12.prepareDataForNonBaseYears,Class12.prepareDataForNonBaseYears | Class72.Method20,#VALUE!
Method20,Class72.Method20,Class23.Method24,Class23.Method24 | Class72.Method20,#VALUE!
Method20,Class72.Method20,Class23.populatePEOCORRecord,Class23.populatePEOCORRecord | Class72.Method20,#VALUE!
Method20,Class72.Method20,Class23.roundValues,Class23.roundValues | Class72.Method20,#VALUE!
Method20,Class72.Method20,Class44.Method24,Class44.Method24 | Class72.Method20,#VALUE!
Method20,Class72.Method20,Class24.getClonedCase,Class24.getClonedCase | Class72.Method20,#VALUE!
Method20,Class72.Method20,Class2.Method10,Class2.Method10 | Class72.Method20,#VALUE!
Method20,Class72.Method20,Class2.createAPEForDiscontiuniedExemtPE,Class2.createAPEForDiscontiuniedExemtPE | Class72.Method20,#VALUE!
Method20,Class72.Method20,Class2.Method10ForDemolition,Class2.Method10ForDemolition | Class72.Method20,#VALUE!
Method20,Class72.Method20,Class2.Method9,Class2.Method9 | Class72.Method20,#VALUE!
Method20,Class72.Method20,Class2.updateExistingAssessmentPenaltiesForReOpen,Class2.updateExistingAssessmentPenaltiesForReOpen | Class72.Method20,#VALUE!
Method20,Class72.Method20,Class2.roundValues,Class2.roundValues | Class72.Method20,#VALUE!
Method20,Class72.Method20,Class25.getProp19PropertyEventValues,Class25.getProp19PropertyEventValues | Class72.Method20,#VALUE!
Method20,Class72.Method20,Class3.Method19,Class3.Method19 | Class72.Method20,#VALUE!
Method20,Class72.Method20,Class3.createPeocorOnAdjustingTransaction,Class3.createPeocorOnAdjustingTransaction | Class72.Method20,#VALUE!
Method20,Class72.Method20,Class13.fetchValuations,Class13.fetchValuations | Class72.Method20,#VALUE!
Method20,Class72.Method20,Class13.fetchCaseByYear,Class13.fetchCaseByYear | Class72.Method20,#VALUE!
Method20,Class72.Method20,Class13.updatePenaltyOnAssessmentForBPP,Class13.updatePenaltyOnAssessmentForBPP | Class72.Method20,#VALUE!
Method20,Class72.Method20,Class13.handleInsertOfCases,Class13.handleInsertOfCases | Class72.Method20,#VALUE!
Method20,Class72.Method20,Class13.handleCreationOfPeoCor,Class13.handleCreationOfPeoCor | Class72.Method20,#VALUE!
Method20,Class72.Method20,Class13.handleCalcOfRpAmount,Class13.handleCalcOfRpAmount | Class72.Method20,#VALUE!
Method20,Class72.Method20,Class13.handleUpdateOfRpAmount,Class13.handleUpdateOfRpAmount | Class72.Method20,#VALUE!
Method20,Class72.Method20,Class13.generateRelatedCOR,Class13.generateRelatedCOR | Class72.Method20,#VALUE!
Method20,Class72.Method20,Class13.creationOfPeoCor,Class13.creationOfPeoCor | Class72.Method20,#VALUE!
Method20,Class72.Method20,Class13.creationOfApeForDvet,Class13.creationOfApeForDvet | Class72.Method20,#VALUE!
Method20,Class72.Method20,Class14.assessedValueOnAssessment,Class14.assessedValueOnAssessment | Class72.Method20,#VALUE!
Method20,Class72.Method20,Class4.Method6,Class4.Method6 | Class72.Method20,#VALUE!
Method20,Class72.Method20,Class4.populateValuesOnAssessments,Class4.populateValuesOnAssessments | Class72.Method20,#VALUE!
Method20,Class72.Method20,Class26.Method24,Class26.Method24 | Class72.Method20,#VALUE!
Method20,Class72.Method20,Class26.populatePEOCORRecord,Class26.populatePEOCORRecord | Class72.Method20,#VALUE!
Method20,Class72.Method20,Class26.roundValues,Class26.roundValues | Class72.Method20,#VALUE!
Method20,Class72.Method20,Class5.Method10,Class5.Method10 | Class72.Method20,#VALUE!
Method20,Class72.Method20,Class27.getSubjectDetailInfo,Class27.getSubjectDetailInfo | Class72.Method20,#VALUE!
Method20,Class72.Method20,Class28.handleUpdateOfCase,Class28.handleUpdateOfCase | Class72.Method20,#VALUE!
Method20,Class72.Method20,Class28.handleUpdateOfCOR,Class28.handleUpdateOfCOR | Class72.Method20,#VALUE!
Method20,Class72.Method20,Class57.createEscapeAssessments,Class57.createEscapeAssessments | Class72.Method20,#VALUE!
Method20,Class72.Method20,Class7.applyPenaltyIfContactEndDatePopulatedOnPe,Class7.applyPenaltyIfContactEndDatePopulatedOnPe | Class72.Method20,#VALUE!
Method20,Class72.Method20,Class7.applyPenalty,Class7.applyPenalty | Class72.Method20,#VALUE!
Method20,Class72.Method20,Class7.assessmentPenaltyForNonAssess,Class7.assessmentPenaltyForNonAssess | Class72.Method20,#VALUE!
Method20,Class72.Method20,Class7.createCorForLegacyAssessment,Class7.createCorForLegacyAssessment | Class72.Method20,#VALUE!
Method20,Class72.Method20,Class16.CreateAssessmentForRescission,Class16.CreateAssessmentForRescission | Class72.Method20,#VALUE!
Method20,Class72.Method20,Class29.getValue,Class29.getValue | Class72.Method20,#VALUE!
Method20,Class72.Method20,Class8.caseCreation,Class8.caseCreation | Class72.Method20,#VALUE!
Method20,Class72.Method20,Class8.handleCreationPeocor,Class8.handleCreationPeocor | Class72.Method20,#VALUE!
Method20,Class72.Method20,Class8.updateApeAmountExempt,Class8.updateApeAmountExempt | Class72.Method20,#VALUE!
Method20,Class72.Method20,Class8.processWorkingRoll,Class8.processWorkingRoll | Class72.Method20,#VALUE!
Method20,Class72.Method20,Class8.handleUpdatePEOCOR,Class8.handleUpdatePEOCOR | Class72.Method20,#VALUE!
Method20,Class72.Method20,Class8.handleCreateOrUpdatePeocorWorkingroll,Class8.handleCreateOrUpdatePeocorWorkingroll | Class72.Method20,#VALUE!
Method20,Class72.Method20,Class8.updateAssessedValuesForExemptions,Class8.updateAssessedValuesForExemptions | Class72.Method20,#VALUE!
Method20,Class72.Method20,Class30.getTotalValueOnWorkingCase,Class30.getTotalValueOnWorkingCase | Class72.Method20,#VALUE!
Method20,Class72.Method20,Class30.getTotalBasisValueOnCase,Class30.getTotalBasisValueOnCase | Class72.Method20,#VALUE!
Method20,Class72.Method20,Class30.getTotalValueOnExistingCase,Class30.getTotalValueOnExistingCase | Class72.Method20,#VALUE!
Method20,Class72.Method20,Class30.setBasisValue,Class30.setBasisValue | Class72.Method20,#VALUE!
Method20,Class72.Method20,Class31.createValuationMethod,Class31.createValuationMethod | Class72.Method20,#VALUE!
Method20,Class72.Method20,Class32.updateValuations,Class32.updateValuations | Class72.Method20,#VALUE!
Method20,Class72.Method20,Class33.Method24,Class33.Method24 | Class72.Method20,#VALUE!
Method20,Class72.Method20,Class34.Method24,Class34.Method24 | Class72.Method20,#VALUE!
Method20,Class72.Method20,Class34.populateTempValues,Class34.populateTempValues | Class72.Method20,#VALUE!
Method20,Class72.Method20,Class35.cloningOfAssessmentAndLineItems,Class35.cloningOfAssessmentAndLineItems | Class72.Method20,#VALUE!
Method20,Class72.Method20,Class36.saveRPExemptionsData,Class36.saveRPExemptionsData | Class72.Method20,#VALUE!
Method20,Class72.Method20,Class36.processRPClonedData,Class36.processRPClonedData | Class72.Method20,#VALUE!
Method20,Class72.Method20,Class37.regularAssessmentAdjustment,Class37.regularAssessmentAdjustment | Class72.Method20,#VALUE!
Method20,Class72.Method20,Class37.escapeAdjustment,Class37.escapeAdjustment | Class72.Method20,#VALUE!
Method20,Class72.Method20,Class37.cancelAdjustments,Class37.cancelAdjustments | Class72.Method20,#VALUE!
Method20,Class72.Method20,Class37.createClonedAssessmentAndLineItems,Class37.createClonedAssessmentAndLineItems | Class72.Method20,#VALUE!
Method20,Class72.Method20,Class37.createClonedEscapeRollCorrectionAssessmentsAndLineItems,Class37.createClonedEscapeRollCorrectionAssessmentsAndLineItems | Class72.Method20,#VALUE!
Method20,Class72.Method20,Class37.createEscapeClass20,Class37.createEscapeClass20 | Class72.Method20,#VALUE!
Method20,Class72.Method20,Class38.regularAssessmentAdjustment,Class38.regularAssessmentAdjustment | Class72.Method20,#VALUE!
Method20,Class72.Method20,Class38.escapeAdjustment,Class38.escapeAdjustment | Class72.Method20,#VALUE!
Method20,Class72.Method20,Class38.cancelAdjustments,Class38.cancelAdjustments | Class72.Method20,#VALUE!
Method20,Class72.Method20,Class38.retrieveRPCloneAssessmentsForAdjustments,Class38.retrieveRPCloneAssessmentsForAdjustments | Class72.Method20,#VALUE!
Method20,Class72.Method20,Class38.linkBppAndRp,Class38.linkBppAndRp | Class72.Method20,#VALUE!
Method20,Class72.Method20,Class38.createAssessmentForRP,Class38.createAssessmentForRP | Class72.Method20,#VALUE!
Method20,Class72.Method20,Class38.calculateTotalAdjustmentValue,Class38.calculateTotalAdjustmentValue | Class72.Method20,#VALUE!
Method20,Class72.Method20,Class38.adjustLegacyCasesWithExemption,Class38.adjustLegacyCasesWithExemption | Class72.Method20,#VALUE!
Method20,Class72.Method20,Class38.populateAPERecordsForAssessment,Class38.populateAPERecordsForAssessment | Class72.Method20,#VALUE!
Method20,Class72.Method20,Class38.calculateAmountExemptOnInstitutionalCase,Class38.calculateAmountExemptOnInstitutionalCase | Class72.Method20,#VALUE!
Method20,Class72.Method20,Class38.createPEOCORForRegularAssessment,Class38.createPEOCORForRegularAssessment | Class72.Method20,#VALUE!
Method20,Class72.Method20,Class38.genarateAPEForDiscontiuniedExemptions,Class38.genarateAPEForDiscontiuniedExemptions | Class72.Method20,#VALUE!
Method20,Class72.Method20,Class38.calculateRpAmountExempt,Class38.calculateRpAmountExempt | Class72.Method20,#VALUE!
Method20,Class72.Method20,Class38.updatePEOCORAndAPEForCases,Class38.updatePEOCORAndAPEForCases | Class72.Method20,#VALUE!
Method20,Class72.Method20,Class39.applyFraudRelatedPenalty,Class39.applyFraudRelatedPenalty | Class72.Method20,#VALUE!
Method20,Class72.Method20,Class39.applyLastYearAssessedValue,Class39.applyLastYearAssessedValue | Class72.Method20,#VALUE!
Method20,Class72.Method20,Class39.setPenaltyForVesselAssessments,Class39.setPenaltyForVesselAssessments | Class72.Method20,#VALUE!
Method20,Class72.Method20,Class39.setVesselValuationFactor,Class39.setVesselValuationFactor | Class72.Method20,#VALUE!
Method20,Class72.Method20,Class39.isPenaltyOverride,Class39.isPenaltyOverride | Class72.Method20,#VALUE!
Method20,Class72.Method20,Class39.processExemptionReviewAssessments,Class39.processExemptionReviewAssessments | Class72.Method20,#VALUE!
Method20,Class72.Method20,Class39.snapshotOnAnnualOrAdjustedAssessment,Class39.snapshotOnAnnualOrAdjustedAssessment | Class72.Method20,#VALUE!
Method20,Class72.Method20,Class39.updateRpAssessmentWhenUnapprovedAndJunctionExists,Class39.updateRpAssessmentWhenUnapprovedAndJunctionExists | Class72.Method20,#VALUE!
Method20,Class72.Method20,Class40.getdata,Class40.getdata | Class72.Method20,#VALUE!
Method20,Class72.Method20,Class41.Method24,Class41.Method24 | Class72.Method20,#VALUE!
Method20,Class72.Method20,Class42.getEscapesForGeneration,Class42.getEscapesForGeneration | Class72.Method20,#VALUE!
Method20,Class72.Method20,Class42.returnGrosslyUnderReportedCases,Class42.returnGrosslyUnderReportedCases | Class72.Method20,#VALUE!
Method19,Class73.Method19,Class4.Method23,Class4.Method23 | Class73.Method19,#VALUE!
Method19,Class73.Method19,Class4.Method6,Class4.Method6 | Class73.Method19,#VALUE!
Method19,Class73.Method19,Class6.cancelValuation,Class6.cancelValuation | Class73.Method19,#VALUE!
Method22,Class38.Method22,Class1.createAssessments,Class1.createAssessments | Class38.Method22,#VALUE!
Method22,Class38.Method22,Class1.Method8,Class1.Method8 | Class38.Method22,#VALUE!
Method22,Class38.Method22,Class2.Method10,Class2.Method10 | Class38.Method22,#VALUE!
Method22,Class38.Method22,Class2.Method9,Class2.Method9 | Class38.Method22,#VALUE!
Method22,Class38.Method22,Class3.generateFMVAssessmentAsync,Class3.generateFMVAssessmentAsync | Class38.Method22,#VALUE!
Method22,Class38.Method22,Class13.manageMultipleExemptions,Class13.manageMultipleExemptions | Class38.Method22,#VALUE!
Method22,Class38.Method22,Class14.Method23,Class14.Method23 | Class38.Method22,#VALUE!
Method22,Class38.Method22,Class4.Method23,Class4.Method23 | Class38.Method22,#VALUE!
Method22,Class38.Method22,Class4.Method6,Class4.Method6 | Class38.Method22,#VALUE!
Method22,Class38.Method22,Class5.Method10,Class5.Method10 | Class38.Method22,#VALUE!
Method22,Class38.Method22,Class6.cancelValuation,Class6.cancelValuation | Class38.Method22,#VALUE!
Method22,Class38.Method22,Class15.Method10,Class15.Method10 | Class38.Method22,#VALUE!
Method16,Class38.Method16,Class1.assessedValueOnAssessment,Class1.assessedValueOnAssessment | Class38.Method16,#VALUE!
Method16,Class38.Method16,Class1.Method1,Class1.Method1 | Class38.Method16,#VALUE!
Method16,Class38.Method16,Class13.generateRelatedCOR,Class13.generateRelatedCOR | Class38.Method16,#VALUE!
Method18,Class38.Method18,Class1.updateExistingAssessments,Class1.updateExistingAssessments | Class38.Method18,#VALUE!
Method18,Class38.Method18,Class1.assessedValueOnAssessment,Class1.assessedValueOnAssessment | Class38.Method18,#VALUE!
Method18,Class38.Method18,Class1.Method1,Class1.Method1 | Class38.Method18,#VALUE!
Method18,Class38.Method18,Class1.createorUpdateCORForDemolition,Class1.createorUpdateCORForDemolition | Class38.Method18,#VALUE!
Method18,Class38.Method18,Class10.createAssessmentForSplit,Class10.createAssessmentForSplit | Class38.Method18,#VALUE!
Method18,Class38.Method18,Class10.createAssessmentForMerge,Class10.createAssessmentForMerge | Class38.Method18,#VALUE!
Method18,Class38.Method18,Class43.fetchOwnerships,Class43.fetchOwnerships | Class38.Method18,#VALUE!
Method18,Class38.Method18,Class12.insertCasesAndCORs,Class12.insertCasesAndCORs | Class38.Method18,#VALUE!
Method18,Class38.Method18,Class23.Method24,Class23.Method24 | Class38.Method18,#VALUE!
Method18,Class38.Method18,Class44.Method24,Class44.Method24 | Class38.Method18,#VALUE!
Method18,Class38.Method18,Class2.Method10,Class2.Method10 | Class38.Method18,#VALUE!
Method18,Class38.Method18,Class13.generateRelatedCOR,Class13.generateRelatedCOR | Class38.Method18,#VALUE!
Method18,Class38.Method18,Class14.assessedValueOnAssessment,Class14.assessedValueOnAssessment | Class38.Method18,#VALUE!
Method18,Class38.Method18,Class14.createCaseOwnershipRecords,Class14.createCaseOwnershipRecords | Class38.Method18,#VALUE!
Method18,Class38.Method18,Class45.fetchRegularAssessments,Class45.fetchRegularAssessments | Class38.Method18,#VALUE!
Method18,Class38.Method18,Class26.Method24,Class26.Method24 | Class38.Method18,#VALUE!
Method18,Class38.Method18,Class46.insertValuationRecord,Class46.insertValuationRecord | Class38.Method18,#VALUE!
Method18,Class38.Method18,Class47.processClass47,Class47.processClass47 | Class38.Method18,#VALUE!
Method18,Class38.Method18,Class28.handleCreationOfCOR,Class28.handleCreationOfCOR | Class38.Method18,#VALUE!
Method18,Class38.Method18,Class15.createCOROrAPEForAssessment,Class15.createCOROrAPEForAssessment | Class38.Method18,#VALUE!
Method18,Class38.Method18,Class7.createCorForLegacyAssessment,Class7.createCorForLegacyAssessment | Class38.Method18,#VALUE!
Method18,Class38.Method18,Class16.manageCORForNewOwner,Class16.manageCORForNewOwner | Class38.Method18,#VALUE!
Method18,Class38.Method18,Class8.updateAssessedValuesForExemptions,Class8.updateAssessedValuesForExemptions | Class38.Method18,#VALUE!
Method18,Class38.Method18,Class48.fetchRegularAssessments,Class48.fetchRegularAssessments | Class38.Method18,#VALUE!
Method18,Class38.Method18,Class33.Method24,Class33.Method24 | Class38.Method18,#VALUE!
Method18,Class38.Method18,Class34.Method24,Class34.Method24 | Class38.Method18,#VALUE!
Method18,Class38.Method18,Class49.getFactorForOBYKey,Class49.getFactorForOBYKey | Class38.Method18,#VALUE!
Method14,Class68.Method14,Class50.pgmtEventDateProcess,Class50.pgmtEventDateProcess | Class68.Method14,#VALUE!
Method14,Class68.Method14,Class51.Method13,Class51.Method13 | Class68.Method14,#VALUE!
Method14,Class68.Method14,Class51.postChatterForAPE,Class51.postChatterForAPE | Class68.Method14,#VALUE!
Method14,Class68.Method14,Class1.cloneCORandAPE,Class1.cloneCORandAPE | Class68.Method14,#VALUE!
Method14,Class68.Method14,Class52.Method24AfterUpdate,Class52.Method24AfterUpdate | Class68.Method14,#VALUE!
Method14,Class68.Method14,Class53.updateValuation,Class53.updateValuation | Class68.Method14,#VALUE!
Method14,Class68.Method14,Class23.Method24,Class23.Method24 | Class68.Method14,#VALUE!
